,Process 1,,
PERIOD,TONNAGE_kt,Output_Metal_Copper_kt,Input_Grade_Copper_%
1,6290.00,29.53,0.491
2,6282.50,37.50,0.620
3,5960.00,39.53,0.686
4,6137.50,34.69,0.587
5,5935.00,31.16,0.547
6,5875.00,32.20,0.570
,Dump 1,,
PERIOD,TONNAGE_kt,Output_Metal_Copper_kt,Input_Grade_Copper_%
1,22232.50,0.00,0.028
2,18735.00,0.00,0.027
3,19070.00,0.00,0.024
4,18930.00,0.00,0.035
5,19090.00,0.00,0.048
6,19162.50,0.00,0.030
,NPV,,
PERIOD,NPV_M$,CUM_NPV_M$,
1,-22.1,-22.1,
2,46.9,24.7,
3,58.7,83.5,
4,26.0,109.5,
5,8.3,117.8,
6,13.1,130.8,
Processing Time:,436.829,seconds,
